Community invited to participate,Date Sent,Responses to Date
ANU Austronesian Mailing List,16. November 2013,11
"Yahoo! Lexicography List ",17. November 2013,12
"RNLD list ",18. November 2013,31
SIL-LDL,15. November 2013,4
SIL-Survey,15. November 2013,4
ALGONQUIANA on Linguist List,18. November 2013,31
"ENDANGERED-LANGUAGES-L on Linguist List ",18. November 2013,31
FLEx Users Group,25. November 2013,53
Various University of Oregon Linguistic Department lists,27. November 2013,62
"SIL-UND FaceBook Page ",28. November 2013,
ToolBox Users Group,28. November 2013,
"lingtransoft ",09. December 2013,
"<a href=""http://listserv.linguistlist.org/cgi-bin/wa?A0=SEALANG-L"" title=""SEALANG List"" target=""_blank"">SEALANG-L on Linguist List</a> ",09. December 2013,
"TIBETO-BURMAN-LINGUISTICS on Linguist List ",09. December 2013,
"<a href=""http://listserv.linguistlist.org/cgi-bin/wa?A0=SALON"" title="""">SALON</a>",11. December 2013,
Wycliffe Nigeria,12. December 2013,
SIL Lexicography Service Group List,13. December 2013,
